Day,Date,Time,Room,Programme,sort,Programme.1,Unnamed: 7,Unnamed: 8,Programme.2,Unnamed: 10,Unnamed: 11,Programme.3,Unnamed: 13,Programme.4
DAY 2,2026-07-02,13:30-15:00,Room D,"79*Perception of AI Civilization in Daesoon Thought
Joo, Soyeon
Daejin University
Lee, Gyungwon
Daejin University",101,79,Perception of AI Civilization in Daesoon Thought,Perception of AI Civilization in Daesoon Thought,79*Perception of AI Civilization in Daesoon Thought,"79*Perception of AI Civilization in Daesoon Thought
",,"79*Perception of AI Civilization in Daesoon Thought

Joo, Soyeon
Daejin University
Lee, Gyungwon
Daejin University",,"79*Perception of AI Civilization in Daesoon Thought
Joo, Soyeon
Daejin University
Lee, Gyungwon
Daejin University"
DAY 2,2026-07-02,13:30-15:00,Room D,"129*Threads of Merit
Lin, Yu-Ting
National Tsing Hua University 
Huang, C. Julia
National Tsing Hua University",102,129,Threads of Merit,"Threads of Merit: Affect, Affordance, and Ethics in Digital Taiwan",129*Threads of Merit,"129*Threads of Merit: Affect, Affordance, and Ethics in Digital Taiwan
",,"129*Threads of Merit: Affect, Affordance, and Ethics in Digital Taiwan

Lin, Yu-Ting
National Tsing Hua University 
Huang, C. Julia
National Tsing Hua University",,"129*Threads of Merit: Affect, Affordance, and Ethics in Digital Taiwan
Lin, Yu-Ting
National Tsing Hua University 
Huang, C. Julia
National Tsing Hua University"
DAY 2,2026-07-02,13:30-15:00,Room D,"60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief
Shimizu, Koki
Doshisha University
Cha, Min Kyung
Kyung Hee University",103,60,"What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief","What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief? Patterns in the ISSP 2018 Japan Survey","60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief","60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief? Patterns in the ISSP 2018 Japan Survey
",,"60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief? Patterns in the ISSP 2018 Japan Survey

Shimizu, Koki
Doshisha University
Cha, Min Kyung
Kyung Hee University",,"60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief? Patterns in the ISSP 2018 Japan Survey
Shimizu, Koki
Doshisha University
Cha, Min Kyung
Kyung Hee University"
DAY 2,2026-07-02,15:00-15:20,,BREAK,104,BREAK,,,BREAK,,,,,
DAY 2,2026-07-02,15:20-16:30,Room A,Religion and Gender,105,Religion and Gender,,,Religion and Gender,,,,,
DAY 2,2026-07-02,15:20-16:30,Room A,"66*Between Legitimation and Marginalization
Ku, Ming-Chun
National Tsing Hua University",106,66,Between Legitimation and Marginalization,Between Legitimation and Marginalization: Female Spiritual Practitioners in Contemporary Chinese Mazu Belief,66*Between Legitimation and Marginalization,"66*Between Legitimation and Marginalization: Female Spiritual Practitioners in Contemporary Chinese Mazu Belief
",,"66*Between Legitimation and Marginalization: Female Spiritual Practitioners in Contemporary Chinese Mazu Belief

Ku, Ming-Chun
National Tsing Hua University",,"66*Between Legitimation and Marginalization: Female Spiritual Practitioners in Contemporary Chinese Mazu Belief
Ku, Ming-Chun
National Tsing Hua University"
DAY 2,2026-07-02,15:20-16:30,Room A,"61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales 
in the First Two Decades of Post-War Taiwan
Li, Yu-Chen
National Chengchi University",107,61,The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales ,The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales in the First Two Decades of Post-war Taiwan,61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales ,"61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales in the First Two Decades of Post-war Taiwan
",,"61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales in the First Two Decades of Post-war Taiwan

in the First Two Decades of Post-War Taiwan
Li, Yu-Chen
National Chengchi University",,"61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales in the First Two Decades of Post-war Taiwan
in the First Two Decades of Post-War Taiwan
Li, Yu-Chen
National Chengchi University"
DAY 2,2026-07-02,15:20-16:30,Room A,"68*Open Places, Transnational Networks
Huang, Weishan
Hong Kong Shue Yan University",108,68,"Open Places, Transnational Networks","""Open Places, Transnational Networks: Guanyin Citta and the Relational Infrastructures of Urban Buddhism""","68*Open Places, Transnational Networks","68*""Open Places, Transnational Networks: Guanyin Citta and the Relational Infrastructures of Urban Buddhism""
",,"68*""Open Places, Transnational Networks: Guanyin Citta and the Relational Infrastructures of Urban Buddhism""

Huang, Weishan
Hong Kong Shue Yan University",,"68*""Open Places, Transnational Networks: Guanyin Citta and the Relational Infrastructures of Urban Buddhism""
Huang, Weishan
Hong Kong Shue Yan University"
DAY 2,2026-07-02,15:20-16:30,Room B,"Religious Transmission and Informal Islamic Education 
in South Korea and Taiwan",109,Religious Transmission and Informal Islamic Education ,,,Religious Transmission and Informal Islamic Education ,,,,,
DAY 2,2026-07-02,15:20-16:30,Room B,"49*Negotiating Islamic Education
Chiou, Syuan Yuan
National Chengchi University",110,49,Negotiating Islamic Education,"Negotiating Islamic Education: Migrant Muslim Motherhood, Informal Schooling, and Religious Adaptation in Taiwan",49*Negotiating Islamic Education,"49*Negotiating Islamic Education: Migrant Muslim Motherhood, Informal Schooling, and Religious Adaptation in Taiwan
",,"49*Negotiating Islamic Education: Migrant Muslim Motherhood, Informal Schooling, and Religious Adaptation in Taiwan

Chiou, Syuan Yuan
National Chengchi University",,"49*Negotiating Islamic Education: Migrant Muslim Motherhood, Informal Schooling, and Religious Adaptation in Taiwan
Chiou, Syuan Yuan
National Chengchi University"
DAY 2,2026-07-02,15:20-16:30,Room B,"50*Preserving Faith Abroad
Burhan, Amelia
University Of Indonesia",111,50,Preserving Faith Abroad,"Preserving Faith Abroad: Islamic Education, Islamic School, and Indonesian Muslim Mothers in Educating Children in South Korea",50*Preserving Faith Abroad,"50*Preserving Faith Abroad: Islamic Education, Islamic School, and Indonesian Muslim Mothers in Educating Children in South Korea
",,"50*Preserving Faith Abroad: Islamic Education, Islamic School, and Indonesian Muslim Mothers in Educating Children in South Korea

Burhan, Amelia
University Of Indonesia",,"50*Preserving Faith Abroad: Islamic Education, Islamic School, and Indonesian Muslim Mothers in Educating Children in South Korea
Burhan, Amelia
University Of Indonesia"
DAY 2,2026-07-02,15:20-16:30,Room B,"115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan
Kartina, Irna
National Taipei University
Chiou, Syuan-yuan
National Chengchi University",112,115,Teacher Involvement and Mental Health Support in Islamic Education in Taiwan,Teacher Involvement and Mental Health Support in Islamic Education in Taiwan,115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan,"115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan
",,"115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan

Kartina, Irna
National Taipei University
Chiou, Syuan-yuan
National Chengchi University",,"115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan
Kartina, Irna
National Taipei University
Chiou, Syuan-yuan
National Chengchi University"
DAY 2,2026-07-02,15:20-16:30,Room C,"Migration, Politics and Religion IV",113,"Migration, Politics and Religion IV",,,"Migration, Politics and Religion IV",,,,,
