Unnamed: 0,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,2026-07-02 00:00:00,11:00-12:10,Room A,"85*The Unexamined Unification Church in Japan: 
The Trial of the Suspect in the Assassination of Former Prime Minister Shinzo Abe

Sakurai, Yoshihide Hokkaido University",70
,2026-07-02 00:00:00,11:00-12:10,Room B,"Ritual, Festival and Religion I",71
,2026-07-02 00:00:00,11:00-12:10,Room B,"127*Buddha's Birthday Celebrations and the Social Impact of Buddhist 
Organizations in Hong Kong: A Case Study of the Hong Kong Buddhist 
Association and Fo Guang Vihara Hong Kong

Wang, Bing Hong Kong Chu Hai College",72
,2026-07-02 00:00:00,11:00-12:10,Room B,"3*The Localization of Humanistic Buddhism in Latin America: 
The Global Outreach of Fo Guang Shan

Chi, Wei-Hsian Academia Sinica",73
,2026-07-02 00:00:00,11:00-12:10,Room B,"32*When Buddha Meets the Gods- A Religious Carnival of Human Connection
（世界神明聯誼會-人與人之間的宗教嘉年華）

Venerable Miaogon 妙功法師
Fo Guang Shan Buddha Musem Academic Development Committee (佛光山佛陀紀念館學術發展委員會)",74
,2026-07-02 00:00:00,11:00-12:10,Room C,Religion and Social Theory III,75
,2026-07-02 00:00:00,11:00-12:10,Room C,"12*Latent and Syncretic Patterns of Religiosity in Contemporary Urban China

Yang, Xiaozhao Sun Yat-Sen University",76
,2026-07-02 00:00:00,11:00-12:10,Room C,"106*The Sacred and the Social: Examining Religion via Social Theory

Younas, Albert University Of Zurich",77
,2026-07-02 00:00:00,11:00-12:10,Room C,"111*From Charismatic Technology to Generative Charisma: 
Understanding Technology and Religion in the Age of A.I.

Lim, Francis Khek Gee Nanyang Technological University",78
,2026-07-02 00:00:00,11:00-12:10,Room D,"Migration, Politics and Religion III",79
